,message,lebel
0,"Go jurong point , crazy .. Available bugis n great world la e buffet ... Cine got amore wat ...",0
1,Ok lar ... Joking wif u oni ...,0
2,Free entry 2 wkly comp win FA Cup final tkts 21st May 2005 . Text FA 87121 receive entry question ( std txt rate ) & C 's apply 08452810075over18 's,1
3,U dun say early hor ... U c already say ...,0
4,"Nah n't think go usf , life around though",0
5,"FreeMsg Hey darling 's 3 week 's word back ! 'd like fun still ? Tb ok ! XxX std chgs send , ï¿½1.50 rcv",1
6,Even brother like speak . treat like aid patent .,0
7,per request 'Melle Melle ( Oru Minnaminunginte Nurungu Vettam ) ' set callertune Callers . Press * 9 copy friend Callertune,0
8,WINNER ! ! valued network customer selected receivea ï¿½900 prize reward ! claim call 09061701461 . Claim code KL341 . Valid 12 hour .,1
9,mobile 11 month ? U R entitled Update latest colour mobile camera Free ! Call Mobile Update Co FREE 08002986030,1
10,"'m gon na home soon n't want talk stuff anymore tonight , k ? 've cried enough today .",0
11,"SIX chance win CASH ! 100 20,000 pound txt > CSH11 send 87575 . Cost 150p/day , 6days , 16+ TsandCs apply Reply HL 4 info",1
12,"URGENT ! 1 week FREE membership ï¿½100,000 Prize Jackpot ! Txt word : CLAIM : 81010 & C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",1
13,'ve searching right word thank breather . promise wont take help granted fulfil promise . wonderful blessing time .,0
14,DATE SUNDAY ! !,0
15,"XXXMobileMovieClub : use credit , click WAP link next txt message click > > http : //wap . xxxmobilemovieclub.com ? n=QJKGIGHJJGCBL",1
16,Oh k ... 'm watching : ),0
17,Eh u remember 2 spell name ... Yes . v naughty make v wet .,0
18,Fine thatï¿½ï¿½s way u feel . Thatï¿½ï¿½s way gota b,0
19,"England v Macedonia - dont miss goals/team news . Txt ur national team 87077 eg ENGLAND 87077 Try : WALES , SCOTLAND 4txt/Ì¼1.20 POBOXox36504W45WQ 16+",1
20,seriously spell name ?,0
21,Iï¿½ï¿½ï¿½m going try 2 month ha ha joking,0
22,ï¿½_ pay first lar ... da stock comin ...,0
23,Aft finish lunch go str lor . Ard 3 smth lor . U finish ur lunch already ?,0
24,Ffffffffff . Alright way meet sooner ?,0
25,forced eat slice . 'm really hungry tho . suck . Mark getting worried . know 'm sick turn pizza . Lol,0
26,Lol always convincing .,0
27,catch bus ? frying egg ? make tea ? eating mom 's left dinner ? feel Love ?,0
28,"'m back & amp ; 're packing car , 'll let know 's room",0
29,Ahhh . Work . vaguely remember ! feel like ? Lol,0
30,"Wait 's still clear , sure sarcastic 's x n't want live u",0
